OBJECTID,LANDUSECODE,LANDUSEDESC,BASEELEV,HEIGHT,Revision,Priordraft,Area,Perimeter,ACREAGE,GlobalID,LASTUPDATE,LASTEDITOR,SHAPE_Length,SHAPE_Area
1940,SF-VL,,,, , ,0,1646.12277791,3.52,{F1AE2A02-1E1F-40AD-84DF-FCB89CAA52A5},2020/02/07 21:12:12+00,Payne.Ringling,1868.73918181755,170807.454330563
1941,SF-LOW,,,, , ,0,2601.10202261,8.96,{658A82EE-C851-4581-8586-F2D7AB6E4A70},2020/02/07 21:12:12+00,Payne.Ringling,2601.10193680583,390501.138809481
1942,SF-LOW,,,, , ,0,1336.9692082,1.31,{4BEC97B7-7CB5-4FE9-ADE2-1016038873CF},2020/02/07 21:12:12+00,Payne.Ringling,1336.96889047618,56851.0203579416
1943,CC,,,, , ,0,1708.40554173,2.9,{EE76F904-24CC-4A80-821C-21C4FA55A762},2020/02/07 21:12:12+00,Payne.Ringling,1708.40612399096,126396.81904366
1944,MF-MOD,,,,Yes, ,0,1740.16435696,3.96,{A6836E7A-4ABD-41A1-97E9-20B8C4BD2F5F},2020/02/07 21:12:12+00,Payne.Ringling,1740.1642271515,172457.659943578
1945,SF-VL,,,, , ,0,1572.65765867,3.19,{EF91B3F2-8ED9-4043-935E-4D90F4C3FE39},2020/02/07 21:12:12+00,Payne.Ringling,1572.65779208345,139098.500478146
1946,SF-VL,,,, , ,0,1653.08630154,3.49,{552B1D8B-4024-442F-9F02-5A3CAEDD10A2},2020/02/07 21:12:12+00,Payne.Ringling,1675.39562859641,153507.918836915
1947,SF-VL,,,, , ,0,1272.281385,2.15,{29B1664A-F87C-4505-96A7-B3297862DD83},2020/02/07 21:12:12+00,Payne.Ringling,1272.28180787331,93459.0576141723
1948,SF-VL,,,, , ,0,861.38379465,1.01,{5CBEDB01-8A4F-45EB-8661-322E3AC9BCB8},2020/02/07 21:12:12+00,Payne.Ringling,861.383937214559,44072.5168941283
1949,SF-LOW,,,, , ,0,2589.21183835,5.59,{E45E4B64-244F-4DDA-93B7-B8361EF6F690},2020/02/07 21:12:12+00,Payne.Ringling,2589.2116075406,243565.741726029
1950,MF-MOD,,,, , ,0,2062.66577113,3.21,{07101CB0-697E-42B2-B6DE-BDD88714F4F0},2020/02/07 21:12:12+00,Payne.Ringling,2062.66518456233,139625.608939045
1951,MF-MOD,,,,Yes, ,0,1421.98795992,2.38,{53E20D10-D138-4302-BDA3-F74EBAFA2CEB},2020/02/07 21:12:12+00,Payne.Ringling,1421.98773278168,103804.237684611
1952,SF-VL,,,, , ,0,1570.97858404,2.89,{1B628F19-275B-44EB-9C79-D79F4076DC5E},2020/02/07 21:12:12+00,Payne.Ringling,1570.97791003346,125756.143873556
1953,SF-VL,,,, , ,0,1523.21592061,2.71,{7AA26563-FC94-4870-84D5-43DC65FC2E63},2020/02/07 21:12:12+00,Payne.Ringling,1517.61942850236,117351.24290966
1954,SF-VL,,,, , ,0,3079.34456992,8.16,{99E80CA6-6162-4D53-A01C-7B1C80FA13B1},2020/02/07 21:12:12+00,Payne.Ringling,3079.34462065807,355333.670615928
1955,SF-LOW,,,, , ,0,3488.88317135,9.77,{CAF2F9C3-E981-485C-A963-21EF5CEDC99F},2020/02/07 21:12:12+00,Payne.Ringling,3488.88378571238,425465.158132496
1956,SF-LOW,,,, , ,0,1901.71177658,3.47,{FE3152AF-30E0-4A86-B4DA-A1488375437E},2020/02/07 21:12:12+00,Payne.Ringling,1901.7117507685,151357.360365867
1957,SF-VL,,,, , ,0,219.21462104,0.03,{6B60E8CA-BDD9-4E2E-BB6B-D7AB340F455A},2020/02/07 21:12:12+00,Payne.Ringling,219.213970765281,1340.32104109247
1958,MF-MOD,,,,Yes, ,0,1100.50008406,1.61,{02E9D9B1-579A-4DB3-9A70-E08AAF9237C0},2020/02/07 21:12:12+00,Payne.Ringling,1100.49992151306,70104.3096884223
1959,CC,,,, , ,0,890.28986239,1.13,{F317C00C-704A-4428-9CF3-CB3584464190},2020/02/07 21:12:12+00,Payne.Ringling,890.289877378206,49220.3459171955
1960,SF-LOW,,,, , ,0,1593.52991741,2.74,{F4A534D6-5B75-4669-AEA9-72C9AB0A173E},2020/02/07 21:12:12+00,Payne.Ringling,1593.53009550899,119357.561948158
1961,SF-LOW,,,, , ,0,463.36130359,0.14,{737AC0D1-B01D-46C4-BD0C-AABE0CD097E8},2020/02/07 21:12:12+00,Payne.Ringling,463.361511355773,6102.19343906405
1962,SF-LOW,,,, , ,0,1308.87612328,2.07,{A2E81CBE-BDC6-4A9C-8F2D-79225E04112F},2020/02/07 21:12:12+00,Payne.Ringling,1501.395883375,109627.443228912
1963,MF-MOD,,,,Yes, ,0,1573.62032914,3.24,{160AB032-D4C4-4F4A-BB74-18B1E2D2319D},2020/02/07 21:12:12+00,Payne.Ringling,1573.6204881634,141142.185568031
1964,CC,,,, , ,0,1509.87091816,2.75,{185F2D64-2D0E-4EB2-8FE7-273DB457CEDB},2020/02/07 21:12:12+00,Payne.Ringling,1509.87062075814,119796.013945044
1965,SF-LOW,,,, , ,0,1750.7515452,3.57,{08394D63-CC1D-41AB-8456-D129C298E189},2020/02/07 21:12:12+00,Payne.Ringling,1750.7509964694,155590.638654153
1966,SF-LOW,,,, , ,0,1638.00062563,3.02,{75A4E9C5-662C-4984-ADF8-3489E6823946},2020/02/07 21:12:12+00,Payne.Ringling,1638.00038511634,131401.476561149
1967,SF-LOW,,,, , ,0,1651.43851667,3.05,{8C7EBEFE-DB1C-465D-B7C6-577E9BED04BD},2020/02/07 21:12:12+00,Payne.Ringling,1651.43808659722,132872.023946439
1968,SF-LOW,,,, , ,0,1440.51139562,2.54,{64D351AB-EC9C-4D69-B1CC-799C75E420AC},2020/02/07 21:12:12+00,Payne.Ringling,1440.51053062954,110535.094080677
